Mwaghavul,pl,PoS,IPA,Gloss,Examples
biring,,n.,bírín,horse; stallion,"the following are used in decorating a horse etc. muwur, nzidyak, sakpoo, shaghal-kipak. Biring ki koghop ni pu ngu Mwaghavul di The horse is significant to the Mwaghavul man"
biring jikat,,n.p.,birin dzikāt,horse from which the rider falls and dies,"Gwar ni pal adeng biring ɓe ri sham mùut, dangɓe ba bìring jikat ni muut kas The man fell off the horse and died, but the ill-fated horse did not die"
bìring jikat,,n.p.,birin dzikāt,ill-fated vehicle or means of transport,"includes vehicles and other means of transport in very bad condition. Nisogho ni pal be gurum ni mo pwat, dangbe a biring jikat ni a dí ba mo kyéen kas The car had an accident and the people survived, but it was the ill- fated car that could not be salvaged"
bìrìng jikat,,n.p.,birin dzikāt,black maria; vehicle that conveys people to be executed,Mo ghir das ni mo ndighin biring jikat mpeeku mo so twa mo di The people were conveyed in a black maria SO they would be executed
bìring shaghal,,n.p.,birin fàyàl,bicycle,lit. 'iron horse'. An ki biring shaghal diipoo I have a new bicycle
birok,,n.,bìròk,bush rat sp.,Birok a lwaa kì jep mo The birok bush rat is children's meat. also kambílóng
birong,,n.,bíróŋ,big gourd used for fetching water,"similar to but bigger than dudak, has a smaller opening than dudak. Mo ki yak pupwap shi birong zak The water gourd is also used for fishing"
biròng pas,,n.p.,biroŋ pās,quiver for arrows,Biròng pas ni a nfii The quiver is empty
bong,,n.,bóŋ,farmland; fields,(situated around the compound). A bong firi ndiisì. This is his farm.
bòng,,n.,boŋ,gold,"such as was used to decorate horses. Bòng a mbii diikirim Gold is a precious item. cf bòo fok, kal, juu"
bòng càn,,n.p.,bon fàn,designated circumcision of children for area,Koo yil diidang ye be ni ki bòng càn fira Every community has its circumcision land. cf. dùng càn
bòng hàs,,n.p.,boŋ kas,area set aside for drying millet i.e. from farm and before threshing,Doghon daa tu nwoo bòng ndighin kàs Yesterday my father killed a snake inside the millet open store
bòng ning,,n.p.,bòŋ níŋ,pen for keeping taurines; taurine corral,Ba a jir tulu mo ki bòng ning kas It is not all houses that have taurine corrals
bòng yer,,n.p.,boŋ yer,farm behind the house where women can plant melon and other small crops,Bòng yer a pèe zok The house- adjoining farm is a store place. cf. muyer
bòo,,n.,bòò,bronze bangle; bronze,"Ba bòo kirim wul mbòng kas Bronze is not as precious as gold. cf. bòng, fok, kal, juu"
boos,,id.,bòòs,"intensifies whiteness of appearance because of dirt, dust or failure to apply oil to the skin",làa ni pyaa bòos the child looks so whitish with dirt. Yi a rang ndiisì bòos ye? Why are you (f. sg.) looking dirty and whitish boos? Also bwàas
bucicit,,id.,bùffiffit,"very wide (space, piece of cloth)","Nlir ni aase bucicit The shirt is very wide, bucicit. also bìcìcìt"
buhol,,n.,búhōl,tree sp.,"An kin kop buhol I have planted a Syzygium guineense tree. also mbihol, mbuhol. Syzygium guineense malmo H."
buk,,V.,búk,to tell lie after lie; to speak endlessly,Gwar ni buk kulap nra The man told her endless lies
bunong poo,,v.p.,bùnòŋ pòò,to talk unscrupulously,Mat ni pu bunong pòo a tileng kaa mattar sì The woman is talking unscrupulously outside like a madwoman
buu,,a.,bùù,worthless; useless valueless;,Mbii di mo cìn ni a buu What they did is useless
buu,,n.,bùù,uselessness; worthlessness,Buu yàa sar ngwar ni 'Uselessness has held the hand of the man' i.e. the man is irresponsible
bwaan,,V.,báá áán,to separate by selecting,Mat ni bwaan kwaakil ni aku mbut nshwáa ni The woman selected and separated the beans from the maize
bwaan,,V.,bwáán,to beat thoroughly with stick,Mo bwaan làa ciishik ni ki kam They thoroughly beat the recalcitrant child with a stick
bwàas,,id.,bwààs,"intensifies whiteness of appearance because of dirt, dust or failure to apply oil to the skin",làa ni (pyaa) aase bwàas the child looks SO whitish with dirt. Also boos
bwaghap,,V.,bwáɣáp,to be soft,laawur ni tap bwaghap the potato is soft to the right extent
bwaghap,,V.,bwáyáp,to curve in because of old age (of the cheeks); to be furrowed,cf. pòo ki dikaam ni ki bwaghap kyes 'mouth of old-man the has contracted completely'. pòo bwaghap
bwaghar,,V.,bwāyār,"to develop new distinct parts (plant, situation); to metamorphose into s.t.; to escalate into s.t. else",Laawur ni kì bwaghar làa The potatoes have developed tubers; Jighir furu ni yaghal bwaghar lek Their quarrel later metamorphosed into a fight
bwatning,,n.,b™àtníŋ,maize cob with black seeds,Shwáa ni a bwatning The maize is a black- seeded cob
bweer,,V.,"b"" έτ",to spread open carelessly; to display; to expose,"This applies particularly to women who spread their legs open, exposing themselves. Ba ni ret ku mat bweer sat kas It is not good for a woman to spread her legs carelessly"
bwembwere,,n.,bwembwέrε,soup from the fruit of the kibang shrub,"not a draw soup. Shrub has sour flowers. Ba jep dí yaksi mo man bwembwere kas The children of today do not know the bwembwere Also soup. mbwembwere, puk làa kibang"
bwen,,V.,W-,"to be flat (of heads or objects, e.g. plates, trays, rocks); to be plane",sg. baan. Kibinang ni bwen zam The grass tray is very flat
bwen,,V.,bwn,to tread on,something semi- solid such as mud and spread it about; to spread in this manner. A we bwen gwom ni kɨ shii ye? Who trod on and spread the porridge?
bwoon,bwaan,v,"bwɔɔ̀ ̀n, bwāān",to do a lot of something,Ɗyemzɨlang ni wet bwoon ɗak The young man did a lot of work during the day
byaap,,n,byááp,small pumpkin,Edible when fresh but the seeds are also eaten. Byaap yàa sar mmat ni zam ʻThe small pumpkin cultivar holds the hand of the woman very well’ i.e. it thrives well when planted by the woman personally
byaghas,,v,byāɣās,to mangle; to destroy; to flatten s.t,Nɨsogho ni taa byaghas mee jep mo The car crushed some children in the course of its journey
byàghàs- byàghàs,,id,byàɣàs byàɣàs,describes doing things shamelessly,cìn mbii byàghàs- byàghàs do things shamelessly
byan,,v,byān,to beat thoroughly with bare hand,plural of bai. Mo byan jep ni mo kɨ sar They beat the children thorough with bare hands. cf. nɨram
byan maap,,v.p,byān mààp,to bewail; to mourn,wura fes byan maap kɨ múut k�̀ puunkaam fɨra ni. She cried bitterly on the death of her father-in-law
byan shwàr,,v.p,byān ʃwàr,to burst into laughter,pl. of piin shwàr. Pòo ɗí a sat ni le ku gurum ni mo byan shwàr What you said made the people burst into laughter
byòlbyòl,,n.,byòlbyòl,inflammation of the uvula,Ba ra ki kyam den ki byòlbyòl kas She has never had a uvula inflammation. cf. mbìmbyòl
Баа,,adv.,баа,emphasises certain verbs,"has a context of contrast and emphasises the positive aspect. wòng, Typically used with ret, zùghùm, sháng i.e. verbs describing sensations. Lu ni wòng Баа The room is so warm"
Баа,,conj.,баа,then you (m. sg.),assimilated form of ɓe (then) and gha (you s.g. masc.) kát a naa ra baa sat ngan 'when you see him then you inform me'
ɓaan,,V.,bāān,to be hot; to be painful,Puus ni gyar ɓaan The sun is too hot
ɓaan,,V.,баāп,to kick ball etc.,An ɓaan ri ki shii I kicked him with the foot
ɓáan,,n.,ɓáán,favour; kindness; help; assistance,Mu pilang báan ni We appreciate the help
ɓáan,,V.,бáán,"to show favour, kindness, help, assistance",Retnyit báan nlàa ni Retnyit was helpful to the child
ɓáan,,V.,бáán,to rain,Used in pee ni/ra báan 'the weather helps' i.e. it rains. Doghon pee ni ra ɓáan mmun Yesterday it rained for our good. cf. nang
ɓáan bish,,n.p.,báán bif,attempt to do good ends up in disaster,"Bam ni dee a báan bish The help ended up in disaster. cf. baan wàar, kwangvileng)"
ɓáan wàar,,n.p,ɓáán wààr,attempt to do good ends up in disaster,"Ɓam ni ɗee a ɓáan wàar The help rather attracted trouble. cf. ɓaan wàar, kwangvɨleng)"
ɓaas,,n,ɓáás,shin (leg),A me ɓyang ɓaas ngha ye? What pierced your shin?
ɓák,,v,ɓák,to despise; to under-rate; to underestimate,Taji mu ɓák mee gurum kas We should not despise anyone
ɓak,,v,ɓāk,to hatch; to crack open,sg. ɓee. Kwee ni k�̀ ɓak The hen has hatched its eggs; Àas ni mo k�̀ ɓak The eggs have hatched
ɓàk,,v,ɓàk,to share; to divide; to separate; to split,Mu k�̀ kyes ɓàk mbiise ni We have finished sharing the food
ɓak gɨn,,v.p,ɓāk g�́n,to make a tribal mark on the cheek,sg. ɓee gɨn. Gwar ni ɓak gin njep fɨri mo The man made tribal marks on his children’s cheeks
ɓak maap,,v.p,ɓāk mààp,to wail; to cry; to shed tears profusely,"Muut ni daampee mmat ni, ɗee ra wet ɓak maap The death troubled the woman, and she spent the day crying bitterly. cf. shwat maap"
ɓàk maap,,v.p,ɓàk mààp,"to formally dismiss mourners, usually on the third day of mourning","lit. ‘divide cry’. Mo ɓàk maap ni a tɨdoghon The mourners were dismissed yesterday. also sat yaghal, sat rangkaa"
ɓàk maap,,n.p,ɓàk mààp,end-of-mourning ceremony,Ɓàk maap ni a tɨdoghon The end- of-mourning was yesterday
ɓák shaar,,n.p,ɓák ʃāār,peers underrating one another in jest,lit. ‘despise friend’ Mɨni a ɓák shaar ɓejee That’s nothing but looking down on friends
bàk shaar,,n.p.,bàkfäär,division; disagreement; disaffection,lit. 'divide friend' Cin dung ki jì ki bàk shaar Telling lies causes disaffection
bàk shaar,,v.p.,bàkfaār,to terminate friendship,lit. 'divide friend' Mo kì bàk shaar They have terminated their friendship
ɓakpee,,V.,ɓákpē,to look down on others; to despise others,lit. 'despise place' A nook bakpee Stop despising others (said to masc. sg.)
ɓakpee,,n.,ɓákpεε,looking down on others; despising others,Ba ɓakpee a mise kas Despising others is not a virtue
ɓakseen,,V.,ɓáksèèn,to underrate; to look down; to despise; to underestimate,lit. 'despise wisdom’ Rep làm diisi ki ɓakseen nyemnan mo This little child usually despises elders
ɓakseen,,n.,báksèèn,underrating; looking down; despising others,Mini a bakseen That is impudence sheer
ɓàkshak,,V.,bàkfàk,to separate; to differ from,lit. 'divide each other'. Pèe wet bàkshak ki pèe tèer Where the day is spent differs from where the night is spent. Idiomatic meaning : Death is inevitable.
bakyil,,n.,bàkyíl,land demarcation boundary;,e.g. between two communities. A bakyil ni ndiisì This is the land boundary
bakyit,,V.,bàk yīt,to demarcate; to differentiate; discriminate to,Ba làa njuu mmak ɓakyit mbii diiret ki diibish kas An infant cannot differentiate between good and bad
bakyit,,n.,bàkyīt,demarcation; dividing line; difference; discrimination,Ba pòo fughu ni mo ki mee ɓakyit kas Your utterances do not have any difference
ɓakzar,,n.,bākzár,cracks in the ground,Pee ni a nighìn ɓakzar The place is full of cracks
bakzar,,V.,bākzár,to crack (ground),Muram ki bakzar nlughun Swampy soil cracks in the dry season
bál,,V.,bál,to be strong; to be forceful; to be hard,Nyemtar mo ɓál zam Mad people are very strong
bàl,jwal,V.,bàl,to unite; to fix; to join; to cause dispute or fight between people,A me bàl wun kyap ye? What really caused your dispute?
bàl dik,,n.p.,bàl dik,church wedding,Mun ki bàl dik nyil funu dadaar We have a wedding in our community tomorrow
bàl dik,,v.p.,bàl dik,to contract a marriage in church,lit. 'join marriage' your A we bàl dik fughu ni ye? Who contracted marriage?
bàl mwos,,n.p.,W bàl mos,traditional practice of sharing local beer with a close friend or relation by drinking simultaneously from the same calabash,"Bàl mwos a ɓàl shaar Drinking beer simultaneously from the same calabash is the making of friendship. also kaat рдо, kaat mwos"
bàl mwos,,v.p.,bàl mos W,to share local beer with a close friend or relation by drinking simultaneously from the same calabash,"A ji ku mu bàl mwos di You (masc. sg.) come so we drink beer simultaneously from the same calabash. also kaat pòo, kaat mwos"
ɓál nkáa,,v.p.,"ɓál ""káá",to be stubborn; to be obstinate; to be recalcitrant,lit. 'harden on- head'. Taji yi bál nkáa kas You (fem. sg.) should not be obstinate
bal-bal,,adv.,ɓál bál,very hard; strongly; firmly; forcefully; loudly,Ri shoor káa ɓal- ɓal nkaa shibutlu He hit his head very hard on the wall
ɓalkaa,,V.,bàlkáá,to co-operate,lit. 'join head'. Mu ɓalkaa ku mu sekyeen di We should unite so we progress
ɓalkaa,,n.,bàlkáá,association; group; unity; cooperation; conclave assembly;,lit. 'join head' Balkaa ki ji ki sekyeen Unity brings progress about
ɓalkwak,,V.,bálkwák,to encourage S.O.; to stimulate,lit. 'strengthen joint' Mu pilang mpeedi ɓalkwak wu mmun We are grateful because you (pl.) encouraged us
bàlshághál,,V.,bàlfàyàl,to weld s.t.,lit. 'join metal' a ri bàlshághál nsar poolu ni 'FOC he welded on-handle door the' i.e. he welded the handle of the door
bàl shaghal,,n.,bàl fàyàl,welding,sar poolu ni wal bàlshaghal 'handle door the needs welding' i.e. the handle of the door needs welding
ɓam,,V.,bām,to help; to assist; to aid,Kúsùk yi ɓam an wa Please you (fem. sg.) help me
ɓam,,V.,bām,to catch; to wrest; snatch; to seize; to grasp to,A ɓwot mbiikaa ni ji ku an ɓam di Throw the hat over so I catch it
bàm,,n.,ɓàm,help; assistance; aid,Wu cìn ɓam mmat ni You (pl.) render help to the woman
bang,,V.,báŋ,to be clean; to be fair in complexion; to shine,Lu ni ɓang The room is clean
bang,,a.,báŋ,in complexion fair (diibang),reference to brown horse. Laareep ni a ɓang The young woman is fair in complexion
ɓang been mwoor,,a.p.,W bāŋ bèèn mwoor,dark brown in complexion,Gwar ni a ɓang bèen mwoor The man is dark brown in complexion
bang-bang,,adv.,báŋ báŋ,clearly; straightforwardly; very clean,A vwang ɗaa ni bang-bang Wash the dish very clean
bangpee,,V.,βάηρεξ,to shine; to be bright,Ba wus ni bangpee kas The light does not shine brightly
bangpee,,n.,βάηρεξ,brightness of a light,Bangpee ki wus ni ret The zam brightness of the light is very good
ɓaram,,n.,bàràm,traditional hockey,Jep mo pu pus ɓaram Children are playing local hockey
Бе,,conj.,,then; and; so,Expresses sequential action. A shi kisi be ri sekyeen mɓut nlong 'by that then he progressed in wealth' i.e. and so he got richer
bee,bak,V.,"δέέ, bak",to dissect; to cut open; to split open; to tear apart; to hatch; to crack open,Mat ni bee muluu ni The woman cut the pumpkin open
bee,,V.,δέε,to have rashes,Yit kì làa ni bee aase The face of the child has too many reashes
bee,,V.,δέέ,to sprout; to germinate,Àas pumwan ni kì bee The vegetable seeds have sprouted
bee gin,bak gin,v.p.,"ɓέέ gin, bāk gin",to make a tribal mark on the cheek,lit. 'tear cheek' Gwar ni ɓee gin nlàa firi The man Imade a tribal cheek mark on his child
